Dane zostały wczytane poprawnie!
R: 34903, P: 59, Q: 28609
R: 15400, P: 48, Q: 31973
R: 28632, P: 80, Q: 36940
R: 19083, P: 100, Q: 6929
R: 5862, P: 99, Q: 2033
R: 12826, P: 48, Q: 5091
R: 36345, P: 88, Q: 8288
R: 994, P: 41, Q: 24993
R: 18021, P: 97, Q: 33057
R: 7465, P: 20, Q: 26934
R: 1983, P: 56, Q: 15243
R: 6161, P: 34, Q: 5863
R: 24412, P: 24, Q: 19878
R: 19028, P: 61, Q: 20995
R: 29652, P: 60, Q: 11497
R: 29914, P: 27, Q: 34548
R: 14369, P: 33, Q: 14401
R: 568, P: 55, Q: 22525
R: 2028, P: 26, Q: 9406
R: 20534, P: 23, Q: 19831
R: 2275, P: 61, Q: 14158
R: 21673, P: 49, Q: 14568
R: 7554, P: 22, Q: 3892
R: 24591, P: 81, Q: 11585
R: 28062, P: 40, Q: 9322
R: 4223, P: 54, Q: 36746
R: 11566, P: 31, Q: 2535
R: 4280, P: 79, Q: 26765
R: 19876, P: 75, Q: 4693
R: 6369, P: 5, Q: 28663
R: 1098, P: 81, Q: 1866
R: 5272, P: 37, Q: 14611
R: 13635, P: 68, Q: 30314
R: 32112, P: 54, Q: 14076
R: 34840, P: 88, Q: 24046
R: 33781, P: 96, Q: 31072
R: 35104, P: 52, Q: 25543
R: 2226, P: 95, Q: 14021
R: 22813, P: 79, Q: 3360
R: 7326, P: 93, Q: 35195
R: 11788, P: 1, Q: 25051
R: 7344, P: 86, Q: 13564
R: 32879, P: 55, Q: 13254
R: 1316, P: 10, Q: 27563
R: 21788, P: 83, Q: 30684
R: 28137, P: 20, Q: 12657
R: 32665, P: 7, Q: 24034
R: 15205, P: 68, Q: 29744
R: 8306, P: 26, Q: 16099
R: 12872, P: 98, Q: 22803
R: 5531, P: 15, Q: 32487
R: 19889, P: 93, Q: 22711
R: 6588, P: 6, Q: 13395
R: 10127, P: 3, Q: 16094
R: 16850, P: 67, Q: 2035
R: 31130, P: 23, Q: 15239
R: 14428, P: 92, Q: 8785
R: 34537, P: 75, Q: 3375
R: 5962, P: 6, Q: 20742
R: 25375, P: 77, Q: 5343
R: 11469, P: 90, Q: 25861
R: 15221, P: 25, Q: 13656
R: 24178, P: 66, Q: 14230
R: 8779, P: 17, Q: 34291
R: 18574, P: 88, Q: 7705
R: 32135, P: 80, Q: 19667
R: 17032, P: 82, Q: 24052
R: 11616, P: 22, Q: 8838
R: 950, P: 61, Q: 21262
R: 2534, P: 83, Q: 24473
R: 13518, P: 98, Q: 29866
R: 18, P: 17, Q: 15130
R: 15024, P: 27, Q: 30838
R: 21767, P: 97, Q: 18112
R: 13881, P: 90, Q: 30390
R: 33348, P: 9, Q: 30298
R: 13312, P: 92, Q: 4169
R: 79, P: 1, Q: 9617
R: 4859, P: 7, Q: 22611
R: 5275, P: 17, Q: 14115
R: 569, P: 86, Q: 22988
R: 30676, P: 73, Q: 21478
R: 27263, P: 68, Q: 32273
R: 13526, P: 32, Q: 4484
R: 2761, P: 73, Q: 24192
R: 26454, P: 68, Q: 34425
R: 19784, P: 48, Q: 12445
R: 15698, P: 31, Q: 27823
R: 3052, P: 37, Q: 27108
R: 36798, P: 65, Q: 12230
R: 14961, P: 30, Q: 26935
R: 33317, P: 14, Q: 7443
R: 33357, P: 94, Q: 33562
R: 8074, P: 32, Q: 6995
R: 25265, P: 17, Q: 22539
R: 16845, P: 60, Q: 1498
R: 21259, P: 64, Q: 2268
R: 8385, P: 95, Q: 27129
R: 28824, P: 72, Q: 18723
R: 4087, P: 29, Q: 26187
R: 14465, P: 22, Q: 26924
R: 34401, P: 69, Q: 1420
R: 22668, P: 28, Q: 21517
R: 13953, P: 25, Q: 26146
R: 25720, P: 28, Q: 36806
R: 27857, P: 47, Q: 12320
R: 4298, P: 23, Q: 21241
R: 13002, P: 19, Q: 25980
R: 15336, P: 54, Q: 7244
R: 11125, P: 59, Q: 10882
R: 25568, P: 37, Q: 6502
R: 3809, P: 51, Q: 32048
R: 23843, P: 51, Q: 7408
R: 8616, P: 38, Q: 22762
R: 20890, P: 15, Q: 3354
R: 18106, P: 27, Q: 2809
R: 1464, P: 93, Q: 15441
R: 21772, P: 57, Q: 21461
R: 5144, P: 3, Q: 32208
R: 5736, P: 52, Q: 21088
R: 32296, P: 18, Q: 31520
R: 20330, P: 74, Q: 2534
R: 27718, P: 9, Q: 4190
R: 12773, P: 71, Q: 19556
R: 9069, P: 79, Q: 11518
R: 26831, P: 8, Q: 4895
R: 17884, P: 59, Q: 32370
R: 8674, P: 11, Q: 12038
R: 7230, P: 10, Q: 17589
R: 28123, P: 60, Q: 14927
R: 19608, P: 89, Q: 6357
R: 4959, P: 38, Q: 9616
R: 17111, P: 81, Q: 18375
R: 4517, P: 57, Q: 30295
R: 1877, P: 42, Q: 6201
R: 26161, P: 21, Q: 10016
R: 34425, P: 15, Q: 876
R: 24390, P: 29, Q: 33960
R: 10307, P: 26, Q: 4727
R: 18485, P: 14, Q: 15407
R: 10064, P: 13, Q: 18254
R: 29637, P: 25, Q: 22794
R: 31556, P: 23, Q: 34250
R: 28731, P: 72, Q: 25813
R: 33089, P: 58, Q: 14703
R: 21181, P: 92, Q: 7019
R: 10218, P: 78, Q: 13937
R: 6158, P: 61, Q: 27099
R: 10388, P: 86, Q: 21934
R: 5802, P: 90, Q: 35795
R: 1484, P: 67, Q: 978
R: 1748, P: 31, Q: 20704
R: 14950, P: 41, Q: 8975
R: 28193, P: 100, Q: 35387
R: 3899, P: 2, Q: 6519
R: 10817, P: 5, Q: 23933
R: 19720, P: 87, Q: 30806
R: 20251, P: 96, Q: 27718
R: 7181, P: 81, Q: 7124
R: 19378, P: 22, Q: 29283
R: 31294, P: 29, Q: 27159
R: 31403, P: 35, Q: 14730
R: 15888, P: 7, Q: 16405
R: 35495, P: 91, Q: 31743
R: 30813, P: 68, Q: 35352
R: 9422, P: 34, Q: 14906
R: 16944, P: 64, Q: 21525
R: 5530, P: 28, Q: 17548
R: 32113, P: 26, Q: 9741
R: 6754, P: 26, Q: 15493
R: 32810, P: 11, Q: 25846
R: 25326, P: 43, Q: 19425
R: 9783, P: 94, Q: 10940
R: 9325, P: 52, Q: 24552
R: 17300, P: 39, Q: 13852
R: 5284, P: 9, Q: 23858
R: 8054, P: 18, Q: 16147
R: 22505, P: 100, Q: 7473
R: 30291, P: 94, Q: 13381
R: 11663, P: 75, Q: 9392
R: 22129, P: 22, Q: 15892
R: 10056, P: 18, Q: 25027
R: 31805, P: 41, Q: 6888
R: 16791, P: 97, Q: 18151
R: 20662, P: 43, Q: 7122
R: 10706, P: 59, Q: 28283
R: 7774, P: 4, Q: 3481
R: 2040, P: 56, Q: 10746
R: 1646, P: 56, Q: 13291
R: 8917, P: 34, Q: 8195
R: 4234, P: 80, Q: 19550
R: 24077, P: 9, Q: 25788
R: 23609, P: 7, Q: 13312
R: 20252, P: 94, Q: 15498
R: 15195, P: 89, Q: 24585
R: 22539, P: 14, Q: 25069
R: 9498, P: 30, Q: 15663
R: 1786, P: 58, Q: 36988
R: 36764, P: 11, Q: 4900
R: 31917, P: 58, Q: 35920
R: 10623, P: 31, Q: 24011
R: 33671, P: 17, Q: 33164
R: 12524, P: 7, Q: 33833
R: 2066, P: 81, Q: 4273
R: 34178, P: 28, Q: 35200
R: 16183, P: 74, Q: 17303
R: 35853, P: 92, Q: 36646
R: 24505, P: 31, Q: 7501
R: 2077, P: 13, Q: 35698
R: 14940, P: 77, Q: 35896
R: 3767, P: 87, Q: 27966
R: 17737, P: 80, Q: 24659
R: 8607, P: 92, Q: 19598
R: 20015, P: 75, Q: 31951
R: 29129, P: 87, Q: 25968
R: 29295, P: 72, Q: 17112
R: 23602, P: 67, Q: 27319
R: 30565, P: 50, Q: 25119
R: 19754, P: 7, Q: 5360
R: 14188, P: 90, Q: 19585
R: 17621, P: 64, Q: 32841
R: 7350, P: 38, Q: 34287
R: 2075, P: 69, Q: 25798
R: 36228, P: 8, Q: 12174
R: 20379, P: 42, Q: 323
R: 678, P: 25, Q: 5350
R: 14980, P: 46, Q: 5406
R: 11279, P: 42, Q: 14653
R: 8961, P: 11, Q: 1358
R: 14910, P: 96, Q: 27392
R: 16163, P: 47, Q: 36279
R: 555, P: 30, Q: 16469
R: 5862, P: 83, Q: 36164
R: 11926, P: 6, Q: 34273
R: 25706, P: 60, Q: 21809
R: 7156, P: 15, Q: 29867
R: 36183, P: 45, Q: 20730
R: 21158, P: 22, Q: 15238
R: 10584, P: 38, Q: 10709
R: 22902, P: 77, Q: 35988
R: 32816, P: 30, Q: 15848
R: 17779, P: 94, Q: 13872
R: 9238, P: 17, Q: 26451
R: 3836, P: 12, Q: 19325
R: 20688, P: 16, Q: 2752
R: 30288, P: 90, Q: 8533
R: 26376, P: 8, Q: 32361
R: 13998, P: 65, Q: 13190
R: 11076, P: 21, Q: 13968
R: 35761, P: 94, Q: 24381
R: 30646, P: 7, Q: 18453
R: 34815, P: 30, Q: 20647
R: 3135, P: 16, Q: 20714
R: 7469, P: 38, Q: 11254
R: 32706, P: 30, Q: 28500
R: 6343, P: 18, Q: 23120
R: 31722, P: 36, Q: 22670
R: 9971, P: 18, Q: 16137
R: 19136, P: 76, Q: 16579
R: 2321, P: 59, Q: 16539
R: 1523, P: 59, Q: 22307
R: 32501, P: 44, Q: 25013
R: 18620, P: 9, Q: 8733
R: 30918, P: 73, Q: 1791
R: 25718, P: 82, Q: 3677
R: 26407, P: 11, Q: 2792
R: 5476, P: 69, Q: 10732
R: 33606, P: 73, Q: 30650
R: 17870, P: 5, Q: 25321
R: 9552, P: 6, Q: 15044
R: 27405, P: 44, Q: 20964
R: 17186, P: 79, Q: 27972
R: 34093, P: 19, Q: 3893
R: 12525, P: 28, Q: 34942
R: 13769, P: 17, Q: 23472
R: 674, P: 19, Q: 34633
R: 3311, P: 33, Q: 2834
R: 23947, P: 28, Q: 23842
